2026-01-28T04:14:08.000000000Z [inf]  Starting Container
2026-01-28T04:14:17.179376989Z [err]  INFO:root:Resource Monitoring blueprint registered at /api/resources
2026-01-28T04:14:17.356776007Z [err]  INFO:llm_fallback:[FallbackLLMClient] Using Gemini: gemini-2.5-flash (key #1/1)
2026-01-28T04:14:17.356889937Z [err]  INFO:llm_fallback:[FallbackLLMClient] Using Gemini: gemini-2.5-flash (key #1/1)
2026-01-28T04:14:17.356898040Z [err]  INFO:llm_fallback:[FallbackLLMClient] Using Gemini: gemini-2.5-pro (key #1/1)
2026-01-28T04:14:17.356905188Z [err]  INFO:root:LangChain components initialized.
2026-01-28T04:14:17.750503380Z [err]  [2026-01-28 04:14:17 +0000] [1] [INFO] Starting gunicorn 24.1.1
2026-01-28T04:14:17.750508021Z [err]  [2026-01-28 04:14:17 +0000] [1] [INFO] ======================================================================
2026-01-28T04:14:17.750512634Z [err]  [2026-01-28 04:14:17 +0000] [1] [INFO] Starting AI Product Recommender API (Production Mode)
2026-01-28T04:14:17.750516980Z [err]  [2026-01-28 04:14:17 +0000] [1] [INFO] Workers: 2 | Threads/Worker: 4 | Timeout: 3600s
2026-01-28T04:14:17.750521374Z [err]  [2026-01-28 04:14:17 +0000] [1] [INFO] Worker Class: gthread | Max Requests: 1000
2026-01-28T04:14:17.750525823Z [err]  [2026-01-28 04:14:17 +0000] [1] [INFO] Bind: 0.0.0.0:8080 | Preload: True
2026-01-28T04:14:17.750529788Z [err]  [2026-01-28 04:14:17 +0000] [1] [INFO] ======================================================================
2026-01-28T04:14:17.750533750Z [err]  [2026-01-28 04:14:17 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2026-01-28T04:14:17.750538503Z [err]  [2026-01-28 04:14:17 +0000] [1] [INFO] Using worker: gthread
2026-01-28T04:14:17.750543824Z [err]  [2026-01-28 04:14:17 +0000] [1] [INFO] ✓ Server is ready. Accepting connections.
2026-01-28T04:14:17.750549558Z [err]  [2026-01-28 04:14:17 +0000] [103] [INFO] Booting worker with pid: 103
2026-01-28T04:14:17.750555084Z [err]  [2026-01-28 04:14:17 +0000] [103] [INFO] Worker spawned (pid: 103)
2026-01-28T04:14:17.750560314Z [err]  [2026-01-28 04:14:17 +0000] [104] [INFO] Booting worker with pid: 104
2026-01-28T04:14:17.750566386Z [err]  [2026-01-28 04:14:17 +0000] [104] [INFO] Worker spawned (pid: 104)
2026-01-28T04:15:47.550256996Z [inf]  100.64.0.2 - - [28/Jan/2026:04:15:46 +0000] "GET /user HTTP/1.1" 200 140 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 202907
2026-01-28T04:15:47.550272410Z [inf]  100.64.0.2 - - [28/Jan/2026:04:15:47 +0000] "GET /api/agentic/sessions/main_Daman_DEFAULT_d3efad37_20260123_185854_265/validate HTTP/1.1" 200 82 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 7481
2026-01-28T04:15:47.550282732Z [inf]  100.64.0.2 - - [28/Jan/2026:04:15:47 +0000] "GET /user HTTP/1.1" 200 140 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 14429
2026-01-28T04:15:47.550289798Z [inf]  100.64.0.3 - - [28/Jan/2026:04:15:47 +0000] "OPTIONS /api/agentic/sessions/start HTTP/1.1" 200 0 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 4850
2026-01-28T04:15:47.550296997Z [inf]  100.64.0.2 - - [28/Jan/2026:04:15:47 +0000] "GET /api/agentic/sessions/main_Daman_DEFAULT_332ce5bf_20260123_203908_058/validate HTTP/1.1" 200 82 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 8682
2026-01-28T04:15:47.550303841Z [err]  INFO:agentic.session_orchestrator:[SESSION_ORCHESTRATOR] Created session for user 'Daman': main_Daman_DEFAULT_c67e482d_20260128_094544_609 (saved=False, zone=DEFAULT)
2026-01-28T04:15:47.550310148Z [err]  INFO:agentic.session_api:[SESSION_API] Session started: main_Daman_DEFAULT_c67e482d_20260128_094544_609 for user Daman
2026-01-28T04:15:47.550316440Z [inf]  100.64.0.2 - - [28/Jan/2026:04:15:47 +0000] "POST /api/agentic/sessions/start HTTP/1.1" 200 252 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 19646
2026-01-28T04:15:47.595082679Z [err]  INFO:agentic.session_orchestrator:[SESSION_ORCHESTRATOR] Created session for user 'Daman': main_Daman_DEFAULT_fa50eae1_20260128_094545_111 (saved=False, zone=DEFAULT)
2026-01-28T04:15:47.595091647Z [err]  INFO:agentic.session_api:[SESSION_API] Session started: main_Daman_DEFAULT_fa50eae1_20260128_094545_111 for user Daman
2026-01-28T04:15:47.595099051Z [inf]  100.64.0.2 - - [28/Jan/2026:04:15:47 +0000] "POST /api/agentic/sessions/start HTTP/1.1" 200 252 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 6535
2026-01-28T04:15:54.517944574Z [inf]  100.64.0.3 - - [28/Jan/2026:04:15:54 +0000] "OPTIONS /login HTTP/1.1" 200 0 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 1458
2026-01-28T04:15:55.343969889Z [inf]  100.64.0.2 - - [28/Jan/2026:04:15:55 +0000] "POST /login HTTP/1.1" 200 169 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 711169
2026-01-28T04:15:55.402552827Z [inf]  100.64.0.2 - - [28/Jan/2026:04:15:55 +0000] "GET /api/agentic/sessions/main_Daman_DEFAULT_04fdf7cf_20260123_203915_376/validate HTTP/1.1" 200 82 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 5228
2026-01-28T04:15:55.450299432Z [inf]  100.64.0.3 - - [28/Jan/2026:04:15:55 +0000] "OPTIONS /api/agentic/sessions/start HTTP/1.1" 200 0 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 3640
2026-01-28T04:15:55.496909818Z [err]  INFO:agentic.session_orchestrator:[SESSION_ORCHESTRATOR] Created session for user 'Daman': main_Daman_DEFAULT_24420380_20260128_094552_961 (saved=False, zone=DEFAULT)
2026-01-28T04:15:55.496915292Z [err]  INFO:agentic.session_api:[SESSION_API] Session started: main_Daman_DEFAULT_24420380_20260128_094552_961 for user Daman
2026-01-28T04:15:55.498658245Z [inf]  100.64.0.2 - - [28/Jan/2026:04:15:55 +0000] "POST /api/agentic/sessions/start HTTP/1.1" 200 252 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 6438
2026-01-28T04:17:05.785018830Z [inf]  100.64.0.4 - - [28/Jan/2026:04:17:00 +0000] "OPTIONS /api/intent HTTP/1.1" 200 0 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 4284
2026-01-28T04:17:05.785023366Z [err]  INFO:root:[INTENT_API] Calling classify_intent_tool for input: Problem Statement
2026-01-28T04:17:05.785036609Z [err]   
2026-01-28T04:17:05.785041004Z [err]  INFO:root:[INTENT_API] Clearing workflow state - detected KNOWLEDGE QUESTION: Problem Statement
2026-01-28T04:17:05.785048192Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:17:05.785051185Z [err]  Select and specify a complete positive displacement pump system for a process re...
2026-01-28T04:17:05.785056786Z [err]   
2026-01-28T04:17:05.785065916Z [err]  Select and specify a complete ...
2026-01-28T04:17:05.785106292Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Creating Google Gemini: gemini-2.5-pro (key #1/1, skip_test=True)
2026-01-28T04:17:05.785122296Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Skipping test call, returning LLM directly: gemini-2.5-pro
2026-01-28T04:17:25.490204366Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:17:25.490220447Z [err]  INFO:root:[INTENT_API] classify_intent_tool result: {'success': True, 'intent': 'solution', 'confidence': 1.0, 'next_step': 'propose_system_architecture', 'extracted_info': {'system_type': 'positive displacement pump system', 'application': 'process recycle line', 'fluid': 'Process liquid (organic)', 'viscosity': '50 cP at operating temp', 'flow_rate': '25 m³/hr (110 GPM)', 'discharge_pressure': '250 psi (17 bar)', 'suction_pressure': '15 psi (1 bar)', 'operating_temperature': '120°C', 'pump_type': 'Rotary positive displacement (gear or lobe pump preferred)', 'material': '316 stainless steel', 'control_method': 'VFD control', 'required_components': ['Pulsation dampener', 'Relief valve', 'Mechanical seal with flushing system', 'Jacket heating', 'Piping accessories', 'Instrumentation', 'ATEX/IECEx Zone 1 motor', 'Spare parts package']}, 'is_solution': True, 'solution_indicators': ['complete positive displacement pump system', 'VFD control', 'Pulsation dampener', 'Relief valve', 'flushing system', 'Jacket heating', 'Complete piping accessories, instrumentation', 'Spare parts package']}
2026-01-28T04:17:25.490226327Z [err]  INFO:agentic.intent_classification_routing_agent:[WorkflowStateMemory] Session default...: workflow changed None -> solution
2026-01-28T04:17:25.490233066Z [err]  INFO:root:[SOLUTION_ROUTING] Detected solution/engineering challenge - routing to solution workflow
2026-01-28T04:17:25.490238079Z [err]  INFO:root:[INTENT_API] Final response: {'intent': 'solution', 'nextStep': 'solutionWorkflow', 'resumeWorkflow': False, 'confidence': 1.0, 'isSolution': True, 'extractedInfo': {'system_type': 'positive displacement pump system', 'application': 'process recycle line', 'fluid': 'Process liquid (organic)', 'viscosity': '50 cP at operating temp', 'flow_rate': '25 m³/hr (110 GPM)', 'discharge_pressure': '250 psi (17 bar)', 'suction_pressure': '15 psi (1 bar)', 'operating_temperature': '120°C', 'pump_type': 'Rotary positive displacement (gear or lobe pump preferred)', 'material': '316 stainless steel', 'control_method': 'VFD control', 'required_components': ['Pulsation dampener', 'Relief valve', 'Mechanical seal with flushing system', 'Jacket heating', 'Piping accessories', 'Instrumentation', 'ATEX/IECEx Zone 1 motor', 'Spare parts package']}, 'solutionIndicators': ['complete positive displacement pump system', 'VFD control', 'Pulsation dampener', 'Relief valve', 'flushing system', 'Jacket heating', 'Complete piping accessories, instrumentation', 'Spare parts package'], 'currentWorkflow': 'solution', 'suggestWorkflow': None}
2026-01-28T04:17:25.491416102Z [err]   
2026-01-28T04:17:25.491421173Z [err]  INFO:root:[INTENT_API] Workflow set to: solution
2026-01-28T04:17:25.491426272Z [inf]  100.64.0.2 - - [28/Jan/2026:04:17:16 +0000] "POST /api/intent HTTP/1.1" 200 1053 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 15770827
2026-01-28T04:17:25.491428848Z [err]  Select and specify a complete positive displacement pump system for a process re...
2026-01-28T04:17:25.491438122Z [err]  INFO:agentic.solution_workflow:[SOLUTION] Using zone: DEFAULT
2026-01-28T04:17:25.491438741Z [inf]  100.64.0.4 - - [28/Jan/2026:04:17:16 +0000] "OPTIONS /api/agentic/solution HTTP/1.1" 200 0 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0" 4040
2026-01-28T04:17:25.491444817Z [err]  WARNING:utils.workflow_sync:run_solution_workflow called without session_id, skipping workflow lock
2026-01-28T04:17:25.491447418Z [err]  INFO:agentic.checkpointing:Using MemorySaver checkpointer
2026-01-28T04:17:25.491450190Z [err]  INFO:agentic.solution_workflow:[SOLUTION] Starting workflow for session: 91959028-8259-46de-b6b7-b1d8d54a79d8
2026-01-28T04:17:25.491454320Z [err]  INFO:agentic.solution_workflow:[SOLUTION] User input: Problem Statement
2026-01-28T04:17:25.491460236Z [err]  INFO:agentic.checkpointing:Workflow compiled with memory checkpointing
2026-01-28T04:17:25.491467256Z [err]  INFO:agentic.solution_workflow:[SOLUTION] Node 0: Initializing thread tree (using UI-provided IDs)...
2026-01-28T04:17:25.491476436Z [err]  INFO:agentic.solution_workflow:[SOLUTION] Using UI-provided thread IDs:
2026-01-28T04:17:25.491484315Z [err]  INFO:agentic.solution_workflow:[SOLUTION]   Main Thread ID: main_921a91c24fa0
2026-01-28T04:17:25.491492144Z [err]  INFO:agentic.solution_workflow:[SOLUTION]   Workflow Thread ID: sol_8b6c5f684c00
2026-01-28T04:17:25.493051166Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:17:25.493072879Z [err]  INFO:agentic.solution_workflow:[SOLUTION]   Zone: DEFAULT
2026-01-28T04:17:25.493079550Z [err]  INFO:agentic.solution_workflow:[SOLUTION] Node 1: Analyzing solution context...
2026-01-28T04:17:25.493085685Z [err]  INFO:agentic.lock_monitor:[LOCK_MONITORING] Global manager created
2026-01-28T04:17:25.493092698Z [err]  INFO:agentic.lock_monitor:[LOCK_MONITORING] Created lock: llm_cache
2026-01-28T04:17:25.493098748Z [err]  INFO:agentic.llm_manager:[LLM_CACHE] Creating new LLM: gemini-2.5-pro_0.1
2026-01-28T04:17:25.493104953Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Creating Google Gemini: gemini-2.5-pro (key #1/1, skip_test=True)
2026-01-28T04:17:25.493110945Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Skipping test call, returning LLM directly: gemini-2.5-pro
2026-01-28T04:17:29.932197579Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:17:29.951973299Z [err]  INFO:agentic.solution_workflow:[SOLUTION] Solution name: Positive Displacement Pump System for Process Recycle Line
2026-01-28T04:17:29.954238112Z [err]  INFO:agentic.solution_workflow:[SOLUTION] Node 2: Identifying instruments and accessories...
2026-01-28T04:17:29.954245808Z [err]  INFO:agentic.solution_workflow:[SOLUTION] Node 2: Identifying instruments and accessories...
2026-01-28T04:17:29.954251174Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Creating Google Gemini: gemini-2.5-pro (key #1/1, skip_test=True)
2026-01-28T04:17:30.032131576Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Skipping test call, returning LLM directly: gemini-2.5-pro
2026-01-28T04:17:30.035391639Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:17:50.035128429Z [inf]  100.64.0.3 - - [28/Jan/2026:04:17:48 +0000] "OPTIONS /api/agentic/sessions/heartbeat HTTP/1.1" 200 0 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 4890
2026-01-28T04:17:50.035133774Z [err]  WARNING:agentic.session_orchestrator:[SESSION_ORCHESTRATOR] Heartbeat for non-existent/inactive session: main_Daman_DEFAULT_aa638919_20260127_164749_649
2026-01-28T04:17:50.035140360Z [inf]  100.64.0.4 - - [28/Jan/2026:04:17:49 +0000] "POST /api/agentic/sessions/heartbeat HTTP/1.1" 200 191 "https://en-genie1.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 11259
2026-01-28T04:18:09.818951954Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:18:09.818956938Z [err]  INFO:tools.instrument_tools:[Accessory ID] Starting accessory identification for 6 instrument(s)
2026-01-28T04:18:09.818964613Z [err]  INFO:tools.instrument_tools:[Accessory ID] LLM attempt 1/3...
2026-01-28T04:18:09.818969118Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Creating Google Gemini: gemini-2.5-pro (key #1/1, skip_test=True)
2026-01-28T04:18:09.818973732Z [err]  INFO:llm_fallback:[LLM_FALLBACK] Skipping test call, returning LLM directly: gemini-2.5-pro
2026-01-28T04:18:09.818978810Z [err]  INFO:google_genai.models:AFC is enabled with max remote calls: 10.
2026-01-28T04:19:29.863022027Z [err]  INFO:agentic.solution_workflow:[SOLUTION]    23 total items → 18 unique types
2026-01-28T04:19:29.863031118Z [err]  INFO:agentic.solution_workflow:[SOLUTION]    Enriching only 18 unique items...
2026-01-28T04:19:29.863038353Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:============================================================
2026-01-28T04:19:29.863044811Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[OPT_PARALLEL] OPTIMIZED PARALLEL DEEP AGENT
2026-01-28T04:19:29.863052446Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[OPT_PARALLEL] Processing 18 products
2026-01-28T04:19:29.863061557Z [err]  INFO:agentic.deep_agent.optimized_parallel_agent:[OPT_PARALLEL] Session: 91959028-8259-46de-b6b7-b1d8d54a79d8
2026-01-28T04:19:29.863075521Z [err]  INFO:httpx:HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-01-28T04:19:29.863080498Z [err]  INFO:tools.instrument_tools:[Accessory ID] ✅ LLM attempt 1 succeeded: 17 accessories identified
2026-01-28T04:19:29.863085855Z [err]  INFO:agentic.solution_workflow:[SOLUTION] ✅ Items validated and formatted:
2026-01-28T04:19:29.863091731Z [err]  INFO:agentic.solution_workflow:[SOLUTION]    6 instruments identified
2026-01-28T04:19:29.863098574Z [err]  INFO:agentic.solution_workflow:[SOLUTION]    17 accessories identified
